F * num_of_proposals , time/ms
25722897 , 81.932
17163900 , 50.759
10121562 , 27.553
985002 , 2.823
24043950 , 59.477
5488000 , 13.278
28719684 , 70.48
20293218 , 48.376
40868850 , 105.797
37352229 , 91.618
151354 , 0.194
3636468 , 8.774
36504329 , 87.873
40684896 , 96.028
306774 , 1.278
5794250 , 13.34
9853368 , 22.054
3815010 , 12.491
549700 , 0.704
17589703 , 40.358
5478578 , 14.706
13850696 , 34.465
5645200 , 14.422
1945528 , 5.254
29532218 , 67.265
2539950 , 6.335
6807402 , 17.136
15091008 , 43.271
18449918 , 51.916
10203196 , 24.388
9336456 , 23.189
25036344 , 60.083
2091320 , 5.856
4886388 , 11.762
23477814 , 56.591
1613678 , 4.47
21729730 , 49.979
40031433 , 95.611
10142028 , 24.167
19112860 , 47.612
7815813 , 18.373
13517712 , 30.612
1679535 , 3.692
2016756 , 5.223
13343616 , 30.914
5472556 , 13.092
5508766 , 12.139
20820240 , 51.853
19081184 , 47.273
4426947 , 9.104
13893285 , 45.37
14334411 , 39.97
17288928 , 44.629
27062272 , 71.417
27144830 , 66.043
21876967 , 54.61
15009198 , 38.057
15553041 , 37.976
39080652 , 90.859
20492816 , 47.917
1231621 , 2.545
24218240 , 59.826
9657392 , 24.713
3592589 , 8.378
24028658 , 55.524
42979690 , 105.402
18858114 , 43.838
16808972 , 39.078
17982764 , 41.272
20675808 , 47.195
26659251 , 66.864
2620620 , 8.314
4715351 , 14.221
24317744 , 69.258
29316891 , 83.19
12778545 , 36.464
129438 , 0.135
9259593 , 27.251
13784061 , 38.872
19546972 , 55.335
900312 , 2.765
1525046 , 4.784
2171034 , 6.298
26593200 , 73.937
5602212 , 13.865
10777961 , 26.114
34499150 , 91.553
22426998 , 65.194
18434610 , 53.734
53928448 , 158.918
2710140 , 8.385
18197409 , 50.687
11558008 , 33.044
7409472 , 20.977
20838060 , 58.565
11257128 , 32.084
32219550 , 98.952
22831263 , 65.827
6777635 , 20.675
2349594 , 6.235
